Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,104,C_0805_2012Metric,136.8625,-82.6,180,bottom
C2,104,C_0805_2012Metric,67.25,-13.4375,90,bottom
C3,104,C_0805_2012Metric,49.55,-85.9625,270,bottom
C4,104,C_0805_2012Metric,231.35,-13.9375,90,bottom
C5,1uF,C_0805_2012Metric,262.5,-21.9375,270,bottom
C6,1uF,C_0805_2012Metric,245.75,-29.0625,90,bottom
C7,1uF,C_0805_2012Metric,258.0625,-32.25,0,bottom
C8,1uF,C_0805_2012Metric,245.75,-20.0625,270,bottom
C9,22pF,C_0805_2012Metric,267.4375,-26.75,180,bottom
C10,22pF,C_0805_2012Metric,270.5,-21.5625,270,bottom
C11,1uF,C_0805_2012Metric,253.1875,-15.75,180,bottom
C12,104,C_0805_2012Metric,26.8375,-82.15,180,bottom
C13,104,C_0805_2012Metric,301.85,-14.1,90,bottom
C14,104,C_0805_2012Metric,32.5,-44.85,90,bottom
C15,104,C_0805_2012Metric,318.9,-32.8,0,bottom
C16,104,C_0805_2012Metric,213.8,-87.2125,270,bottom
C17,104,C_0805_2012Metric,147.1,-13.8375,90,bottom
C18,104,C_0805_2012Metric,319.0125,-78.25,0,bottom
C19,104,C_0805_2012Metric,280.05,-91.9,180,bottom
D1,D_Small,D_SOD-123,31,-38.25,90,bottom
D2,D_Small,D_SOD-123,49.5,-37.9,90,bottom
D3,D_Small,D_SOD-123,67.75,-37.9,90,bottom
D4,D_Small,D_SOD-123,86,-37.75,90,bottom
D5,D_Small,D_SOD-123,104.25,-37.75,90,bottom
D6,D_Small,D_SOD-123,122.25,-38,90,bottom
D7,D_Small,D_SOD-123,140.5,-37.75,90,bottom
D8,D_Small,D_SOD-123,158.75,-37.75,90,bottom
D9,D_Small,D_SOD-123,176.75,-38,90,bottom
D10,D_Small,D_SOD-123,195.25,-37.9,90,bottom
D11,D_Small,D_SOD-123,213,-38,90,bottom
D12,D_Small,D_SOD-123,231.5,-37.9,90,bottom
D13,D_Small,D_SOD-123,268,-37.75,90,bottom
D14,D_Small,D_SOD-123,286,-38.15,90,bottom
D15,D_Small,D_SOD-123,304.5,-38,90,bottom
D16,D_Small,D_SOD-123,32.75,-52.9,90,bottom
D17,D_Small,D_SOD-123,53.5,-52.9,90,bottom
D18,D_Small,D_SOD-123,76.75,-55.25,90,bottom
D19,D_Small,D_SOD-123,95,-55.25,90,bottom
D20,D_Small,D_SOD-123,113.25,-55,90,bottom
D21,D_Small,D_SOD-123,131.5,-55.15,90,bottom
D22,D_Small,D_SOD-123,149.75,-55.65,90,bottom
D23,D_Small,D_SOD-123,167.75,-55.25,90,bottom
D24,D_Small,D_SOD-123,185.5,-55.5,90,bottom
D25,D_Small,D_SOD-123,204.25,-55.15,90,bottom
D26,D_Small,D_SOD-123,226.5,-55.25,90,bottom
D27,D_Small,D_SOD-123,268,-55.25,90,bottom
D28,D_Small,D_SOD-123,286,-55,90,bottom
D29,D_Small,D_SOD-123,304,-55.15,90,bottom
D30,D_Small,D_SOD-123,40.5,-72.15,90,bottom
D31,D_Small,D_SOD-123,67.5,-72.5,90,bottom
D32,D_Small,D_SOD-123,85.5,-72.65,90,bottom
D33,D_Small,D_SOD-123,100.4,-70.55,90,bottom
D34,D_Small,D_SOD-123,122,-72.65,90,bottom
D35,D_Small,D_SOD-123,138,-70.05,90,bottom
D36,D_Small,D_SOD-123,158.75,-72.25,90,bottom
D37,D_Small,D_SOD-123,177,-72.5,90,bottom
D38,D_Small,D_SOD-123,195.25,-72.25,90,bottom
D39,D_Small,D_SOD-123,215.25,-72.5,90,bottom
D40,D_Small,D_SOD-123,245,-76.65,90,bottom
D41,D_Small,D_SOD-123,268,-72.25,90,bottom
D42,D_Small,D_SOD-123,286,-72.65,90,bottom
D43,D_Small,D_SOD-123,304.25,-72.25,90,bottom
D44,D_Small,D_SOD-123,86,-89.5,90,bottom
D45,D_Small,D_SOD-123,113,-89.5,90,bottom
D46,D_Small,D_SOD-123,149.75,-89.5,90,bottom
D47,D_Small,D_SOD-123,177,-89.75,90,bottom
D48,D_Small,D_SOD-123,199.5,-89.65,90,bottom
D49,D_Small,D_SOD-123,227,-94.15,90,bottom
D50,D_Small,D_SOD-123,245,-93.75,90,bottom
D51,D_Small,D_SOD-123,263.5,-93.75,90,bottom
D52,D_Small,D_SOD-123,286,-89.65,90,bottom
D53,D_Small,D_SOD-123,63.25,-89.5,90,bottom
D54,D_Small,D_SOD-123,35.5,-89.5,90,bottom
D55,D_Small,D_SOD-123,304.25,-89.5,90,bottom
D56,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,226,-14,0,bottom
D57,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,142,-14,0,bottom
D58,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,62,-14,0,bottom
D59,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,27,-45,90,bottom
D60,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,27,-77,90,bottom
D61,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,55,-86,180,bottom
D62,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,137,-88.2,180,bottom
D63,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,219,-87,180,bottom
D64,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,280,-88,180,bottom
D65,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,319,-73,270,bottom
D66,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,319,-38,270,bottom
D67,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,296,-14,0,bottom
F1,Polyfuse_Small,Fuse_1206_3216Metric,44.9,-18.5,180,bottom
R2,22,R_0805_2012Metric,45,-25,180,bottom
R3,22,R_0805_2012Metric,44.9375,-23,180,bottom
R4,10K,R_0805_2012Metric,262.1875,-18.75,0,bottom
R5,10K,R_0805_2012Metric,248.3125,-32.25,0,bottom
R6,5.1k,R_0805_2012Metric,37.8125,-18.25,0,bottom
R7,5.1k,R_0805_2012Metric,44.9375,-21,180,bottom
SW1,SW_Push,SKQG-1155865,264.5,-14.5,0,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,253.5,-24.5,270,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,40,-7,0,bottom
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,267.5,-23.5,90,bottom